School ID,School Name (Chinese),Group,District (Chinese),Contact,*School Phone Number_External,*School Phone Number_EY,e-Mail,District Cleaned,School Name
S001,天后中英文幼稚園,2,屯門,24683262,24683262,24683262,info@rck.edu.hk,Tuen Mun,Regina Coeli Anglo-Chinese Kindergarten
S002,天后中英文幼稚園（二校）,1,屯門,24580796,24580796/93699544,24580796,stangelar@rck.edu.hk,Tuen Mun,Regina Coeli Anglo-Chinese Kindergarten (Second Branch)
S003,仁愛堂顏寶鈴幼稚園,3,屯門,24585033,24585033,24585033,kg1@yot.org.hk,Tuen Mun,Yan Oi Tong Ngan Po Ling Kindergarten
S004,仁愛堂葉德海幼稚園,4,屯門,24658112,95520239 (校長) | 24658112 總機,24658112,kg2@yot.org.hk; connie.ho@yot.org.hk,Tuen Mun,Yan Oi Tong Allan Yap Kindergarten
S005,保良局田家炳兆康幼稚園,2,屯門,24668131,24668131,24668131,plktkpshkg@poleungkuk.org.hk; cflamlam@gmail.com,Tuen Mun,Po Leung Kuk Tin Ka Ping Siu Hong Kindergarten
S006,中華基督教會屯門堂何福堂幼稚園,3,屯門,24675078,24675078,24675078,kindergartenhft@yahoo.com.hk,Tuen Mun,"Hoh Fuk Tong Kindergarten (Tuen Mun Church, The Church Of Christ In China, Hong Kong Council)"
S007,世界龍岡學校朱瑞蘭（中英文）幼稚園,4,屯門,24562677,24562677,24562677,chusuilan@gmail.com,Tuen Mun,Lung Kong World Federation School Limited Chu Sui Lan Anglo-Chinese Kindergarten
S008,保良局廖烈正幼稚園,3,屯門,24550445,24550445/61918574(w/ WhatsApp),24550445,plktllckg@poleungkuk.org.hk,Tuen Mun,Po Leung Kuk Yick Kwai Fong Kindergarten
S009,田景邨浸信會呂郭碧鳳幼稚園,4,屯門,24557187,24557187,24557187,tinking@tkkg.edu.hk,Tuen Mun,Tin King Estate Baptist Lui Kwok Pat Fong Kindergarten
S010,聖公會青山聖彼得堂兆麟苑幼稚園,1,屯門,61894402,61894402,61894402,slc@skhspcslc.edu.hk,Tuen Mun,S.K.H. St. Peter's Church Castle Peak Siu Lun Court Kindergarten
S011,雅麗斯英文幼稚園,3,屯門,24588193,24588193,24588193,agneskginfo@gmail.com,Tuen Mun,Agnes English Kindergarten
S012,保良局蔡冠深幼稚園,4,屯門,24602211,24602211,24602211,plkckskg@poleungkuk.org.hk,Tuen Mun,Po Leung Kuk Choi Koon Shum Kindergarten
S013,樂善堂鄧德濂幼稚園,2,屯門,24537232,24537232,24537232,ttl_kg5@yahoo.com.hk,Tuen Mun,Lok Sin Tong Tang Tak Lim Kindergarten
